278,119,1996,11.29,DarkSalmon,Korina,Maple,Maple,maple,EMG 85 Active,EMG 85 Active,EMG 85 Active,False
573,61,1992,12.17,CadetBlue,Walnut,Maple,Rosewood,maple,496 & 500T,496 & 500T,496 & 500T,False
95,81,1992,9.72,Cornsilk,Walnut,Rosewood,Ebony,walnut,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,False
530,26,1981,6.88,LightCyan,Mahogany,Mahogany,Ebony,walnut,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,True
287,37,1972,5.49,MediumTurquoise,Maple,Maple,Maple,walnut,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,False
853,123,1967,6.08,Beige,Walnut,Mahogany,Ebony,walnut,496 & 500T,496 & 500T,496 & 500T,False
424,43,1969,12.25,LightCoral,Walnut,Wenge,Rosewood,maple,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,True
473,29,1958,9.15,PaleGoldenRod,Basswood,Maple,Maple,walnut,Fishman Rare Earth,Fishman Rare Earth,Fishman Rare Earth,True
572,113,1957,8.39,Plum,Maple,Koa,Ebony,maple,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,False
92,18,1999,10.88,IndianRed,Walnut,Maple,Rosewood,walnut,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,False
689,79,1969,5.55,Blue,Japanese Ash,Wenge,Maple,walnut,490R & 490T,490R & 490T,490R & 490T,False
85,96,1973,10.94,Chartreuse,Swamp Ash,Mahogany,Rosewood,maple,Fender Vintage Noiseless,Fender Vintage Noiseless,Fender Vintage Noiseless,False
687,43,1954,8.94,MediumBlue,Maple,Rosewood,Maple,maple,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,True
296,79,1985,12.44,Fuchsia,Korina,Koa,Rosewood,walnut,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,False
360,14,1995,8.02,DimGray,Swamp Ash,Mahogany,Rosewood,walnut,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,False
672,9,1990,6.21,Orange,Alder,Wenge,Ebony,walnut,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,True
844,121,1949,8.31,MintCream,Maple,Wenge,Rosewood,maple,Fishman Rare Earth,Fishman Rare Earth,Fishman Rare Earth,False
730,12,1994,10.38,ForestGreen,Maple,Wenge,Rosewood,walnut,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,False
732,74,1987,12.31,DodgerBlue,Basswood,Maple,Maple,maple,'57 Classic,'57 Classic,'57 Classic,True
793,117,1999,5.31,DimGray,Alder,Rosewood,Rosewood,maple,496 & 500T,496 & 500T,496 & 500T,False
25,5,1962,5.79,Azure,Swamp Ash,Koa,Maple,maple,496 & 500T,496 & 500T,496 & 500T,False
361,85,1993,7.46,DarkCyan,Alder,Mahogany,Rosewood,walnut,496 & 500T,496 & 500T,496 & 500T,True
336,75,1952,6.66,DarkGreen,Mahogany,Wenge,Rosewood,maple,Dirty Fingers,Dirty Fingers,Dirty Fingers,False
486,81,1990,6.18,Peru,Swamp Ash,Koa,Maple,walnut,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,False
601,33,1948,10.89,MintCream,Alder,Rosewood,Maple,walnut,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,True
627,55,1993,9.2,Teal,Japanese Ash,Mahogany,Ebony,maple,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,False
68,106,1999,7.17,GoldenRod,Japanese Ash,Koa,Ebony,walnut,Fender Vintage,Fender Vintage,Fender Vintage,True
845,76,1950,7.13,YellowGreen,Swamp Ash,Rosewood,Rosewood,maple,Burstbucker,Burstbucker,Burstbucker,False
403,76,1947,6.79,DarkTurquoise,Basswood,Koa,Maple,maple,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,True
885,124,1997,12.38,Indigo,Swamp Ash,Maple,Ebony,walnut,490R & 490T,490R & 490T,490R & 490T,True
497,33,1986,11.01,Tomato,Japanese Ash,Maple,Rosewood,walnut,Burstbucker,Burstbucker,Burstbucker,True
673,70,1983,8.03,Aquamarine,Japanese Ash,Mahogany,Maple,walnut,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,False
303,71,1973,6.5,DarkRed,Basswood,Rosewood,Ebony,maple,Fishman Rare Earth,Fishman Rare Earth,Fishman Rare Earth,True
161,77,1993,5.28,OldLace,Swamp Ash,Rosewood,Maple,maple,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,True
615,3,1994,12.43,AliceBlue,Alder,Mahogany,Maple,walnut,496 & 500T,496 & 500T,496 & 500T,False
299,28,1962,11.12,DarkRed,Walnut,Wenge,Rosewood,maple,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,True
352,16,1982,9.51,Bisque,Walnut,Mahogany,Ebony,walnut,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,False
865,75,1967,9.47,DarkRed,Japanese Ash,Maple,Maple,maple,Fender Vintage Noiseless,Fender Vintage Noiseless,Fender Vintage Noiseless,True
265,43,1974,6.73,Gold,Walnut,Maple,Maple,maple,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,True
548,20,1983,9.06,SkyBlue,Korina,Koa,Ebony,maple,Fender Vintage Noiseless,Fender Vintage Noiseless,Fender Vintage Noiseless,True
254,77,1966,9.5,Azure,Mahogany,Maple,Maple,walnut,Dirty Fingers,Dirty Fingers,Dirty Fingers,True
938,13,1981,12.11,PaleTurquoise,Korina,Koa,Maple,maple,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,False
448,39,1951,11.36,PaleVioletRed,Japanese Ash,Wenge,Rosewood,maple,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,False
340,78,1967,9.44,LightSkyBlue,Maple,Wenge,Maple,walnut,490R & 490T,490R & 490T,490R & 490T,False
338,23,1969,7.62,LightCoral,Maple,Maple,Maple,maple,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,True
799,34,1956,5.51,Fuchsia,Maple,Koa,Rosewood,maple,Fishman Rare Earth,Fishman Rare Earth,Fishman Rare Earth,False
924,25,1974,5.13,Ivory,Korina,Maple,Ebony,maple,Fishman Rare Earth,Fishman Rare Earth,Fishman Rare Earth,True
966,32,1973,7.56,PaleGreen,Maple,Koa,Maple,maple,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,True
385,11,1969,5.53,ForestGreen,Alder,Maple,Maple,maple,EMG 85 Active,EMG 85 Active,EMG 85 Active,False
509,3,1969,9.95,NavajoWhite,Alder,Koa,Ebony,walnut,EMG 85 Active,EMG 85 Active,EMG 85 Active,False
154,55,1959,5.08,Bisque,Basswood,Koa,Ebony,maple,Lollar Imperial Humbucker,Lollar Imperial Humbucker,Lollar Imperial Humbucker,True
748,72,1988,9.68,PaleTurquoise,Mahogany,Maple,Ebony,maple,Burstbucker,Burstbucker,Burstbucker,False
769,80,1961,10.25,YellowGreen,Walnut,Koa,Rosewood,walnut,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,True
